source ,Target
11433,13303
14869,12478
14057,14869
15016,11433
11193,12892
10397,15016
15016,10397
10397,14869
10397,10423
11278,10397
14107,13487
11433,11298
11298,11433
11433,12892
10397,12451
12451,10397
12953,10397
11433,12953
10397,14771
13204,10397
13487,12889
12889,13487
10397,14027
14027,10397
13244,10397
12953,11697
10397,12892
14869,14747
14747,14869
10397,10423
10423,10397
11292,12953
14869,14893
12953,11697
14869,14908
12892,15304
10397,11193
10397,11278
11278,10397
10397,13198
13198,10397
11057,10397
11433,13487
13487,11433
12953,10397
10397,14100
14100,10397
12478,10397
12889,11433
10397,14683
11697,12953
12892,10693
13487,13198
13198,13487
12339,10397
12478,12892
14869,13487
12266,11433
14747,10397
15304,10397
13487,14635
14635,13487
13930,10397
14679,14869
10397,14869
12478,10721
10397,12953
14100,14869
14869,14100
13204,11193
14869,13487
13487,14057
14057,13487
14635,13487
13244,10397
14869,13487
12451,10397
13487,14107
10721,10397
14869,12478
10397,10821
10821,10397
10397,13931
11433,11057
14107,11433
10397,13198
11066,10397
10397,13931
11433,10397
14747,13487
11433,12889
12889,11433
10397,11292
10397,13495
13495,10397
13487,14635
14635,13487
10397,13244
10397,10140
10140,10397
10397,10792
10792,10397
14492,11433
11433,10397
10397,15376
13487,10397
10397,11066
12953,11433
10397,11697
11433,13204
11433,13303
14635,10397
12953,11433
15304,10397
10397,15304
11433,13487
10397,14100
14100,10397
13487,14747
14747,12173
10397,11278
11618,11433
14771,12478
14869,12892
10397,11618
13487,15304
11433,11278
12173,14747
12953,10397
11433,12953
10397,12266
10397,11057
11057,10397
10397,12892
14908,14869
14057,12478
13487,14869
13487,13342
13342,13487
12892,12478
11433,13342
13204,13244
14730,10397
10397,11292
10397,14679
14679,10397
12892,13487
10397,13204
11193,14869
14027,10397
10397,15304
13204,12889
12889,13204
13204,12953
13930,10397
14869,14679
14679,14869
13487,14831
10397,12339
12339,10397
10397,14122
14122,10397
11433,10397
15016,13487
12953,13204
11433,10397
10397,10721
13487,14869
14122,10397
10397,11042
14869,14679
14679,14869
13487,12953
10397,12451
12451,10397
13204,13487
10397,10721
11193,14635
14635,11193
10397,15304
13487,14771
14771,13487
10693,10397
10397,15016
15016,10397
10397,11298
11298,10397
14869,10299
10821,10397
14747,13487
11193,10397
11433,12889
12889,11433
12953,13487
13487,11697
11697,13487
13487,12892
13244,11433
14869,10397
10397,10821
10821,10397
11697,10397
10397,11697
13204,11433
10397,14747
12953,11433
12892,14869
13487,14869
12892,13495
11433,14869
13487,13342
10397,11278
11278,10397
11433,11298
11298,11433
10397,11618
11618,10397
11433,11057
11057,11433
11193,12889
12889,11193
12953,10397
14869,11433
10397,14771
10397,12478
10397,14492
14492,10397
14635,10397
14869,12478
10397,12892
14027,12953
11278,14869
14869,11278
10397,11066
12892,12478
12478,12892
12173,12892
12892,12173
10397,14679
10397,14747
10397,13204
13204,10397
12953,14027
13487,14893
10397,15304
15304,10397
10397,13303
13303,10397
13204,13487
14869,14771
14771,14869
10397,15304
15304,10397
14869,14679
14679,14869
12953,11697
10397,12451
12451,10397
10397,13342
13342,10397
10397,13487
14869,11278
11433,13495
10397,12953
14908,13487
14869,14893
14893,14869
12478,15304
13487,14107
14107,13487
12953,15304
10397,14100
12953,14027
14027,12953
14771,11193
14747,14869
11292,13487
10397,14524
14524,10397
14771,12478
12478,13204
13204,12478
12478,14869
10397,13303
12266,10397
11193,10397
12892,12478
12478,12892
12892,11433
13204,10397
12478,10397
13244,10397
14771,12478
12478,14771
13204,10397
10397,13204
14747,13487
13487,14747
13487,11433
11433,13487
12266,10397
10397,12266
12953,10397
12889,10397
10397,12889
15304,10397
11193,10397
10397,13204
12478,11697
11298,10397
10397,11298
12892,12478
12478,12892
14869,12478
12478,11433
12892,10397
10397,13204
13204,10397
10397,12892
11433,10397
10397,11433
12478,12892
14747,10397
12889,10397
10397,12889
12478,11697
13487,11433
11433,11292
14869,10397
11433,10721
10721,11433
12478,12889
13303,10397
12266,10397
10397,12451
11433,12953
12953,11433
14747,12478
12478,14747
12892,10397
11292,13487
11278,10397
15304,10397
14122,10397
10397,13487
12478,14107
14679,12478
11697,11433
11292,13487
10397,12478
12478,13303
10397,13487
12478,14843
13204,14869
14843,12478
10397,13244
10397,10792
12478,14843
15376,10397
10397,14893
14893,10397
12889,12478
14843,12478
14100,10397
12478,14843
11193,10397
14843,12478
10397,11193
10397,11057
11057,10397
10397,11278
13342,10397
10397,13487
10397,10693
10397,14122
14122,10397
10721,13487
10397,12892
10397,11278
10397,12266
10397,13487
10397,11618
11618,10397
11278,10397
12889,11433
11433,11298
11298,11433
10397,10721
10397,11278
14843,10397
14843,10397
10397,12953
13487,13244
10397,14843
10397,14843
14843,10397
10397,14843
14843,10397
12889,14869
13244,13487
10397,13204
13495,12953
10721,10397
10397,10721
10397,11292
11433,11292
10397,12953
12953,10397
12889,13244
10397,14635
10397,13495
13495,10397
11618,10397
10397,12953
13204,14869
12892,10397
10397,14492
14869,11193
11433,12892
12478,14679
10397,11618
10397,12451
12451,10397
11433,13487
10397,10529
12953,13303
14057,10397
14869,12892
11057,14869
14869,11057
11433,10397
10821,13487
12478,11292
13232,10397
15304,12953
13244,10397
10397,13495
14683,10397
13495,12953
10397,14843
10397,11193
11292,10397
14679,13487
13487,11433
11618,10397
14869,11433
11278,11433
11433,11278
11433,12889
11433,15016
15016,11433
11433,10693
10693,11433
11433,15304
12339,11433
10397,10423
10423,10397
12953,13495
10397,11433
13198,10397
12478,13204
13204,12478
10397,14027
14027,10397
13930,10397
10397,11057
11057,10397
12478,10423
14869,14831
11433,11292
10397,13204
14635,10397
13487,10397
10397,10792
10792,10397
10397,11292
10397,13204
12953,11433
12451,10397
11433,14747
10397,12451
10397,14893
14893,10397
10397,13244
10693,10397
14492,10397
10397,13487
11433,14771
10397,14635
10397,11433
13303,10397
12889,11433
10397,14122
14122,10397
10397,11066
11066,10397
13487,12889
12889,13487
12451,10397
10397,13244
10397,13232
13232,10397
12478,12892
10397,13342
13342,10397
13244,10397
10397,13342
10397,14027
14027,10397
10397,13342
13204,11193
13342,10397
10397,14307
10397,14057
14683,10397
13495,10397
14869,12889
10397,14730
14730,10397
12953,10397
13303,12478
13487,10397
10397,13487
13487,10397
10397,12953
13487,10397
11433,12892
12889,14869
10397,15016
13198,13487
13487,14869
13303,11433
10397,12339
12339,10397
10397,13232
13232,10397
11433,12339
10397,12953
11193,13204
14100,10397
14771,13487
11618,10397
13487,10721
10721,13487
12266,10397
10397,13930
13930,10397
10397,14100
13204,10721
13487,13871
13871,13487
13487,10721
10721,13487
14908,13487
13487,12892
14747,11433
11057,10397
14107,11433
10721,11193
10397,11057
11057,10397
11697,10397
10721,13487
13198,12892
12953,11433
11278,14869
11433,14679
14679,11433
14635,12953
15016,10397
12173,10397
10397,12173
10397,13204
11278,10397
13244,15304
14747,12478
10397,13871
13871,10397
13930,10397
14107,10397
12953,10397
13487,10721
13495,10397
12892,14492
15304,13244
11433,14635
14771,11433
11433,14869
14679,12478
12478,14679
13487,10721
10721,13487
14908,13487
12892,12478
12478,12892
13244,11433
10721,12478
13487,10721
14869,14747
13303,12953
13871,10397
12339,12892
11433,14635
10397,14730
14730,10397
11433,13487
13487,11433
12892,13204
12953,11292
10397,14730
10397,12953
13487,11433
10397,13487
10397,14492
15304,12478
13303,10397
15304,11433
10397,13204
11193,10721
13487,14107
11433,10721
13487,10397
10397,14492
14771,13487
13487,13930
13930,13487
11697,11193
11193,11697
11697,11193
10397,11298
11298,10397
13487,12889
10821,14869
12953,11292
12889,11433
13487,10821
12892,13198
13487,13342
13342,13487
14869,14908
14908,14869
13487,13303
13204,10397
10397,11618
11618,10397
13487,13342
13342,13487
11292,12953
14869,14893
12953,11697
13487,13342
13342,13487
14869,14908
12892,15304
10397,11618
11618,10397
10397,11193
10397,14683
14683,10397
10397,11278
11278,10397
10397,13198
13198,10397
11433,13487
13487,11433
12953,10397
10397,14100
14100,10397
12478,10397
14869,14057
14057,14869
10397,14683
11697,12953
12892,10693
13487,13198
13198,13487
12339,10397
11433,12266
12892,12339
12478,12892
14869,13487
12266,11433
13487,11298
14747,10397
15304,10397
13487,14635
14635,13487
12953,14122
13930,10397
14679,14869
14869,13244
12892,13495
14122,12953
10397,14869
13495,12892
12478,10721
10397,12953
14100,14869
14869,14100
13204,11193
14869,13487
13487,14057
14057,13487
14635,13487
14869,13487
12451,10397
13487,14107
10721,10397
14869,12478
10397,10821
10821,10397
10397,13931
11433,11057
11057,11433
14107,11433
10397,13198
13198,10397
13244,10397
10397,13303
13303,10397
10397,13303
13303,10397
10397,13495
13495,10397
12451,10397
13487,11278
12478,14771
14771,10397
10397,10423
10423,10397
11433,15016
10397,14683
14683,10397
15304,10397
10397,13303
10397,13342
13342,10397
15304,12953
13204,12953
10397,11057
11057,10397
12953,11697
14771,10397
11193,10397
14869,11433
14869,12889
12266,10397
12953,13204
10397,12953
13487,14679
12889,13244
10721,11433
11298,10397
10397,15304
15304,10397
11433,15304
15304,11433
11433,10397
10397,14100
14100,10397
13244,11433
10397,12339
10397,10693
10693,10397
10397,10721
10721,10397
12953,14027
14027,12953
11697,11433
11433,13204
13204,11433
10397,10821
13244,10397
11433,13930
14869,14679
10397,11298
11298,10397
10397,11298
14869,10397
10397,14107
11292,10397
11433,12889
14908,10397
12953,13487
11433,14107
14107,11433
10397,15304
15304,10397
10721,11433
10397,10821
10397,10821
10821,10397
10397,13198
11697,10397
13204,11433
14747,10397
11433,14027
14027,11433
12451,10397
11193,12892
12953,15304
10397,13495
10821,11433
10397,11278
11278,10397
14771,12478
11193,14107
10397,11618
11618,10397
13487,14747
11433,11278
11278,11433
11433,10721
12953,10397
11433,12953
10397,13303
14869,11433
10397,13303
13303,10397
11298,10397
10397,11193
14869,14747
13204,12478
12478,13204
13487,13198
13198,13487
14524,10397
11278,13487
10397,13930
13930,10397
11298,10397
12892,13487
10397,13495
13495,10397
10423,12478
10397,13303
13244,10397
13487,10397
13204,12953
10397,13930
13930,10397
10397,14524
13487,13204
13204,13487
12953,13303
10423,10397
10397,12953
13487,15016
11433,14771
14771,11433
11433,11057
13487,10397
13487,13204
14635,11433
14107,12478
11042,10397
13487,12953
10693,12892
11298,13487
13204,13244
14869,14570
11193,14747
14747,11193
12953,13303
13303,12953
12892,14869
13495,12953
11433,10397
11292,13487
13487,11292
10397,11298
11298,10397
10397,11193
10397,13930
14869,10721
10397,11292
11292,10397
13930,11433
13204,10397
12953,13487
13244,12892
12892,13244
11433,14107
10397,10821
10397,10821
10821,10397
10397,11697
11697,10397
11433,13204
13204,11433
13487,14869
11433,13244
10397,13232
13232,10397
12889,12478
10397,13487
10397,13342
13342,10397
13487,14831
11278,10397
14771,12478
11193,15304
15304,11193
10397,11618
11618,10397
12478,10397
12953,13303
13303,12953
11278,11433
10397,14107
14107,10397
12953,10397
11433,12953
10397,14771
10397,12478
13487,12889
10397,11057
11298,14869
10397,12892
13204,12478
10397,14747
14100,10397
13871,13487
11278,13487
10397,14730
14730,10397
14122,10397
10397,10423
10423,10397
11066,10397
10397,13204
13204,10397
14869,14107
14107,14869
10397,13303
13303,10397
11433,14635
14635,11433
10397,13198
13198,10397
13204,12953
14869,14570
14570,14869
14869,14679
14679,14869
14869,14107
14570,14869
11433,13244
10397,12953
14492,12892
15016,14869
13487,14908
14057,13487
10397,15304
15304,11433
13487,14908
10397,14100
10397,13931
13487,12953
13487,14908
13303,12953
13244,13204
10397,10721
10721,10397
11193,13204
10397,12264
13487,14771
14771,13487
13487,13930
13487,11292
11292,13487
13487,11292
10397,11298
11298,10397
12264,10397
10397,13930
13487,10140
10140,13487
13830,12892
12892,13487
13204,10397
12953,13487
10397,13232
13232,10397
11433,14107
10397,14122
14122,10397
14107,12478
13495,10397
10397,10821
10821,10397
11697,10397
11433,13204
13204,11433
12953,11433
10397,14683
14683,10397
10397,11057
11057,10397
15304,12953
10821,11433
10397,11278
12953,13303
12889,14869
10397,13931
13931,10397
10397,11618
12478,10397
11433,11278
11278,11433
11433,12953
11433,14747
14747,11433
14747,14869
13303,12953
13487,14771
12892,10397
10397,12892
14869,14747
14747,14869
10397,15016
15016,10397
12478,13204
10397,12478
10397,14100
14100,10397
14893,14869
11278,13487
13487,11278
11618,13487
11433,14869
13487,12892
12892,13487
10397,13204
12478,14107
10397,15304
15304,10397
10397,13303
13303,10397
10397,14635
14635,10397
12953,13303
10397,10693
10693,10397
10397,13244
12953,13204
13487,14635
10397,13930
10397,14730
14730,10397
11697,12478
13204,12953
10397,14747
14747,10397
14869,14057
14057,14869
14869,12478
10397,15304
15304,11433
11433,15304
15304,11433
13487,12953
11066,10397
13487,11433
12339,13487
10721,10397
12889,10397
10397,12889
12892,14869
13487,14107
14107,13487
14107,13487
13487,13930
13930,13487
14057,13487
13487,14771
10397,11298
14747,13487
10397,10140
11433,14057
14869,10397
12953,13487
13487,12892
10299,14869
10397,14307
14307,10397
10397,11697
11697,10397
10397,11697
11433,13204
11433,13303
14635,10397
12953,11433
15304,10397
10397,15304
11433,13487
10397,14100
14100,10397
13487,14747
14747,12173
10397,11278
11618,11433
14771,12478
14869,12892
13487,15304
11433,11278
12173,14747
12953,10397
11433,12953
10397,12266
10397,11057
11057,10397
10397,12892
14908,14869
14057,12478
13487,14869
13487,13342
13342,13487
12892,12478
11433,13342
13204,13244
14730,10397
10397,11292
10397,14679
14679,10397
12892,13487
10397,13204
11193,14869
14027,10397
10397,15304
13204,12889
12889,13204
13204,12953
13930,10397
14869,14679
14679,14869
13487,14831
10397,12339
12339,10397
10397,14122
14122,10397
11433,10397
15016,13487
12953,13204
11433,10397
10397,10721
13487,14869
14122,10397
10397,11042
14869,14679
14679,14869
13487,12953
10397,12451
12451,10397
13204,13487
10397,10721
11193,14635
14635,11193
10397,15304
13487,14771
14771,13487
10693,10397
10397,15016
15016,10397
10397,11298
11298,10397
14869,10299
10821,10397
14747,13487
11193,10397
11433,12889
12889,11433
12953,13487
13487,11697
11697,13487
13487,12892
13244,11433
14869,10397
10397,10821
10821,10397
11697,10397
10397,11697
13204,11433
10397,14747
12953,11433
12892,14869
13487,14869
12892,13495
11433,14869
13487,13342
10397,11278
11278,10397
11433,11298
11298,11433
10397,11618
11618,10397
11433,11057
11057,11433
11193,12889
12889,11193
10397,13232
12953,10397
14869,11433
10397,14771
10397,12478
10397,14492
14492,10397
14635,10397
14869,12478
10397,12892
14027,12953
11278,14869
14869,11278
10397,11066
12892,12478
12478,12892
12173,12892
12892,12173
10397,14679
10397,14747
10397,13204
13204,10397
12953,14027
13487,14893
10397,15304
15304,10397
10397,13303
13303,10397
13204,13487
14869,14771
14771,14869
10397,15304
15304,10397
14869,14679
14679,14869
12953,11697
10397,12451
12451,10397
10397,13342
13342,10397
10397,13487
14869,11278
11433,13495
10397,12953
14908,13487
14869,14893
14893,14869
12478,15304
13487,14107
14107,13487
12953,15304
10397,14100
12953,14027
14027,12953
14771,11193
14747,14869
11292,13487
10397,14524
14524,10397
14771,12478
12478,13204
13204,12478
12478,14869
10397,13303
12266,10397
11193,10397
12892,12478
12478,12892
11433,12892
13204,10397
12478,10397
13244,10397
14771,12478
12478,14771
13204,10397
10397,13204
14747,13487
13487,14747
13487,11433
11433,13487
12266,10397
10397,12266
12889,10397
10397,12889
15304,10397
11193,10397
10397,13204
12478,11697
11298,10397
10397,11298
12892,12478
12478,12892
14869,12478
12478,11433
12892,10397
10397,13204
13204,10397
10397,12892
11433,10397
10397,11433
12478,12892
14747,10397
12889,10397
10397,12889
12478,11697
13487,11433
11433,11292
14869,10397
11433,10721
10721,11433
12478,12889
13303,10397
12266,10397
10397,12451
11433,12953
12953,11433
14747,12478
12478,14747
12892,10397
11292,13487
15304,10397
14122,10397
10397,13487
12478,14107
14679,12478
11697,11433
11292,13487
10397,12478
12478,13303
10397,13487
12478,14843
13204,14869
14843,12478
10397,13244
10397,10792
12478,14843
15376,10397
10397,14893
14893,10397
12889,12478
14843,12478
14100,10397
12478,14843
11193,10397
14843,12478
10397,11193
10397,11057
11057,10397
10397,11278
13342,10397
10397,13487
10397,10693
10397,14122
14122,10397
10721,13487
10397,12892
10397,11278
10397,12266
10397,13487
10397,11618
11618,10397
11278,10397
11298,11433
10397,10721
10397,11278
14843,10397
14843,10397
10397,12953
13487,13244
10397,14843
10397,14843
14843,10397
10397,14843
14843,10397
12889,14869
13244,13487
10397,13204
10721,10397
10397,10721
11433,11292
10397,12953
12953,10397
12889,13244
10397,14635
10397,13495
10397,12953
13204,14869
12892,10397
10397,14492
14869,11193
11433,12892
10397,12451
12451,10397
10397,10529
12953,13303
14057,10397
14869,12892
11057,14869
14869,11057
11433,10397
12478,11292
15304,12953
13244,10397
10397,13495
14683,10397
13495,12953
10397,14843
10397,11193
14679,13487
11618,10397
14869,11433
11278,11433
11433,11278
11433,12889
10693,11433
11433,15304
12339,11433
10397,10423
12953,13495
10397,11433
13198,10397
12478,13204
13204,12478
10397,14027
14027,10397
12478,10423
14869,14831
10397,13204
14635,10397
13487,10397
10397,10792
10792,10397
10397,11292
10397,13204
12953,11433
12451,10397
11433,14747
10397,12451
10693,10397
10397,13487
11433,14771
10397,14635
10397,11433
13303,10397
12889,11433
10397,14122
14122,10397
10397,11066
11066,10397
13487,12889
12889,13487
12451,10397
10397,13244
10397,13342
13342,10397
13244,10397
10397,13342
10397,14027
14027,10397
10397,13342
13204,11193
13342,10397
10397,14307
10397,14057
14683,10397
13495,10397
14869,12889
10397,14730
14730,10397
12953,10397
13303,12478
13487,10397
10397,13487
13487,10397
13487,10397
12889,14869
13198,13487
13487,14869
13303,11433
10397,12339
12339,10397
10397,13232
13232,10397
11433,12339
11193,13204
14100,10397
14771,13487
11618,10397
13487,10721
12266,10397
10397,13930
13930,10397
10397,14100
13204,10721
13487,13871
13871,13487
13487,10721
10721,13487
14908,13487
